"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"155","Normal/Others","WS/MP18226/2025-2026/259848-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation of 6th phase semi-high mast lights in Lakhimpur Development Block at 9 different locations as per the attached list.","19-Jan-2026","07-Mar-2026","1412632","Physical Inspection"
"156","Normal/Others","WS/MP18226/2025-2026/259849-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation of 6th phase semi-high mast lights in Nighasan Development Block at 14 different locations as per the attached list.","19-Jan-2026","07-Mar-2026","2197428","Physical Inspection"
"157","Normal/Others","WS/MP18226/2025-2026/259851-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation of 6th phase semi-high mast lights in Bankeganj Development Block at 12 different locations as per the attached list.","19-Jan-2026","07-Mar-2026","1883510","Physical Inspection"
"158","Normal/Others","WS/MP18226/2025-2026/259852-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th phase semi-high mast lights in Bankeganj Development Block at 15 different locations as per the attached list.","19-Jan-2026","07-Mar-2026","2354387","Physical Inspection"
"159","Normal/Others","WS/MP18226/2024-2025/168942-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shivala intersection in village Midaniya Shivalapurwa","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"160","Normal/Others","WS/MP18226/2024-2025/168943-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mata Rani Mandir intersection in village Mathana.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"161","Normal/Others","WS/MP18226/2024-2025/168944-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Matarani and Shiv Ji Mandir intersection in village Bhansadiya.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"162","Normal/Others","WS/MP18226/2024-2025/168945-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv ji temple intersection in village Chhauch.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"163","Normal/Others","WS/MP18226/2024-2025/168946-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Chhauch.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"164","Normal/Others","WS/MP18226/2024-2025/168947-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Ved Mata Gayatri Shakti Peeth intersection in Municipality Lakhimpur.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"165","Normal/Others","WS/MP18226/2024-2025/168948-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Shivalapurwa.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"166","Normal/Others","WS/MP18226/2024-2025/168949-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shitala Mata Mandir intersection in village Katiya.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"167","Normal/Others","WS/MP18226/2024-2025/168950-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of the house of Prithvipal Bhargava former head in village Markhapur.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"168","Normal/Others","WS/MP18226/2024-2025/168951-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Chhanga Lal BDC house in village Saidhari.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"169","Normal/Others","WS/MP18226/2024-2025/168961-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Nakki Baba Mandir intersection in village Sehrua.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"170","Normal/Others","WS/MP18226/2024-2025/168962-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Kali Mandir in the middle of village Jhasiya Katiya.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"171","Normal/Others","WS/MP18226/2024-2025/168963-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Hardaspur.","25-Jan-2025","17-Mar-2025","166050","Physical Inspection"
"172","Normal/Others","WS/MP18226/2024-2025/168964-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Bairagar.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"173","Normal/Others","WS/MP18226/2024-2025/168965-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Gaunsia Masjid intersection in village Parsadaha.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"174","Normal/Others","WS/MP18226/2024-2025/168966-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Jamuniya.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"175","Normal/Others","WS/MP18226/2024-2025/168967-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Bhagauti Mata Temple in village Raipur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"176","Normal/Others","WS/MP18226/2024-2025/168968-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection in village Banika.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"177","Normal/Others","WS/MP18226/2024-2025/168969-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Gurudwara in village Banika.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"178","Normal/Others","WS/MP18226/2024-2025/168970-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Khanipur Gurudwara intersection in village Khanipur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"179","Normal/Others","WS/MP18226/2024-2025/168979-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Raghav Ji Mandir intersection in village Nakaha.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"180","Normal/Others","WS/MP18226/2024-2025/168980-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Noori Barkati Masjid intersection in village Nakaha.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"181","Normal/Others","WS/MP18226/2024-2025/168981-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Radhakrishna Temple intersection in village Nakaha.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"182","Normal/Others","WS/MP18226/2024-2025/168982-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection by Thakur in village Katkusama.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"183","Normal/Others","WS/MP18226/2024-2025/168983-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Durga Devi Temple intersection in village Jagsad.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"184","Normal/Others","WS/MP18226/2024-2025/168984-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sati Mata Mandir intersection in village Sakethu.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"185","Normal/Others","WS/MP18226/2024-2025/168987-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Chahamalpur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"186","Normal/Others","WS/MP18226/2024-2025/168989-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mahakaleshwar Temple intersection in village Badhaidih (Parsia).","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"187","Normal/Others","WS/MP18226/2024-2025/168990-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Madrasa wali Masjid intersection in village Emamipurwa.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"188","Normal/Others","WS/MP18226/2024-2025/168991-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Madina Masjid intersection in village Jhampurwa.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"189","Normal/Others","WS/MP18226/2024-2025/168994-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Bhiraghasi.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"190","Normal/Others","WS/MP18226/2024-2025/168995-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Bhiraghasi.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"191","Normal/Others","WS/MP18226/2024-2025/168996-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sumer Giri Baba Mandir intersection in village Belwa.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"192","Normal/Others","WS/MP18226/2024-2025/168997-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Jind Baba intersection in village Bhagha.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"193","Normal/Others","WS/MP18226/2024-2025/168998-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the old Jama Masjid intersection in village Ghosiana (Banjaria).","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"194","Normal/Others","WS/MP18226/2024-2025/168999-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mata Ji Mandir intersection in village Saidapur (Siraincha).","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"195","Normal/Others","WS/MP18226/2024-2025/169000-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Dev Sthan intersection in village Trikauliyapurwa.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"196","Normal/Others","WS/MP18226/2024-2025/169001-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mahola.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"197","Normal/Others","WS/MP18226/2024-2025/169002-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Ji Mandir intersection in village Devaria.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"198","Normal/Others","WS/MP18226/2024-2025/169003-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the Masjid intersection in village Deoria.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"199","Normal/Others","WS/MP18226/2024-2025/169018-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Kali Mata Mandir intersection in village Mohaddipur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"200","Normal/Others","WS/MP18226/2024-2025/169019-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Sunda.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"201","Normal/Others","WS/MP18226/2024-2025/169020-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of Shankar ji temple in village Padri.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"202","Normal/Others","WS/MP18226/2024-2025/169021-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shankar Ji Mandir intersection in village Chaupur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"203","Normal/Others","WS/MP18226/2024-2025/169022-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Chhatrapal house intersection in village Ashogapur","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"204","Normal/Others","WS/MP18226/2024-2025/169023-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sardar Gurudayal Singh house intersection in village Basaigapur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"205","Normal/Others","WS/MP18226/2024-2025/169024-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Babbu Rastogi house intersection in village Amritaganj.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"206","Normal/Others","WS/MP18226/2024-2025/169025-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near the intersection of Narendra Kumar Verma Purv pradhan  house in village Chahamalpur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"207","Normal/Others","WS/MP18226/2024-2025/169026-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the house intersection of Siyaram Bhargava Purv pradhan head in village Matehi.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"208","Normal/Others","WS/MP18226/2024-2025/169027-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection near Shankar Baksh Singh in village Saidipur Harraiya.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"209","Normal/Others","WS/MP18226/2024-2025/169042-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Durga Mandir intersection in village Jagdishpur of Gram Panchayat Saidapur Bhau.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"210","Normal/Others","WS/MP18226/2024-2025/169043-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near village Ghosiana Masjid intersection of Gram Panchayat Saidapur Devkali.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"211","Normal/Others","WS/MP18226/2024-2025/169044-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection of the house of Honorable Purv MLA Ram Sharan ji in Village Panchayat Ramuapur Bijauli.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"212","Normal/Others","WS/MP18226/2024-2025/169045-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Arvind Raj house intersection in Gram Panchayat Pachpedwa.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"213","Normal/Others","WS/MP18226/2024-2025/169046-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mahesh Kanojia house intersection in Gram Panchayat Rajaganj.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"214","Normal/Others","WS/MP18226/2024-2025/169047-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Veerpal Verma house intersection in Gram Panchayat Jiganha.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"215","Normal/Others","WS/MP18226/2024-2025/169048-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the temple intersection in village Karanpur in Gram Panchayat Karanpur.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"216","Normal/Others","WS/MP18226/2024-2025/169049-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near the temple intersection in Gram Panchayat Murtiha.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"217","Normal/Others","WS/MP18226/2024-2025/169050-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near village Rajepur Devi Mandir intersection of Gram Panchayat Kaimhra.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"218","Normal/Others","WS/MP18226/2024-2025/169051-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Khakhraha Mandir intersection in Gram Panchayat Aman Lala.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"219","Normal/Others","WS/MP18226/2024-2025/169054-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Durga Mandir intersection in village Pipariya Andu of Gram Panchayat Lakesar.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"220","Normal/Others","WS/MP18226/2024-2025/169055-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way at the intersection near the masjid in Gram Panchayat Raunsa.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"221","Normal/Others","WS/MP18226/2024-2025/169056-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Mote Baba Mandir intersection in Gram Panchayat Kodhaiya.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"222","Normal/Others","WS/MP18226/2024-2025/169057-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Shiv Mandir intersection in village Nardwalpurwa of Gram Panchayat Nardwal.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"223","Normal/Others","WS/MP18226/2024-2025/169058-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Sandiline Patel Kisan Seva Kendra petrol pump intersection in Gram Panchayat Saidapur Devkali.","25-Jan-2025","12-Mar-2025","166050","Physical Inspection"
"224","Normal/Others","WS/MP18226/2024-2025/169059-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Devraha Dev Sthan intersection in Gram Panchayat Parsehra Bujurg.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"225","Normal/Others","WS/MP18226/2024-2025/169060-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Uttam Bhaiya Saraswati Vigha Mandir intersection in Gram Panchayat Kotri.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"226","Normal/Others","WS/MP18226/2024-2025/169061-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near Lord Buddha Temple intersection in Gram Panchayat Bhaduri.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"227","Normal/Others","WS/MP18226/2024-2025/169062-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the masjid intersection in village Gopalapur of Gram Panchayat Bhaduri.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"228","Normal/Others","WS/MP18226/2024-2025/169063-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the intersection in Bhadura Bazaar of Gram Panchayat Shankarpur.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"229","Normal/Others","WS/MP18226/2024-2025/169071-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near Pehalwan Baba intersection in Gram Panchayat Koraiya Mufarat.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"230","Normal/Others","WS/MP18226/2024-2025/169072-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near Anup Verma house Tirahe in village Lakshman Nagar of Gram Panchayat Siyathu.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"231","Normal/Others","WS/MP18226/2024-2025/169073-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6 way near the market intersection in Gram Panchayat Baragaon.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"232","Normal/Others","WS/MP18226/2024-2025/169074-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near Nag Baba Sthan Bazar intersection in Gram Panchayat Patrasi.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
"233","Normal/Others","WS/MP18226/2024-2025/169075-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of a semi high mast light 6way near Surendra Verma house intersection in village Muradnagar of Gram Panchayat Patrasi.","25-Jan-2025","12-Mar-2025","166033","Physical Inspection"
