"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"62","Normal/Others","WS/MP839/2024-2025/152775-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","constructionof community shed ward no 8 serial no1 (as per enclosed) please ignore serial no 2","15-Nov-2024","1313000","10-Dec-2024"
"63","Normal/Others","WS/MP839/2023-2024/53096-Construction of additional rooms and halls in the existing public and community building","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of wall,floor,etc","25-Nov-2023","442318","14-Feb-2024"
"64","Normal/Others","WS/MP839/2025-2026/195276-Construction of buildings for community cultural activities","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","construction of floor walls windows and doors of hall at saheedi sathal praja parishad memorial trust village post tehsil jourian","28-Apr-2025","1500000","25-Aug-2025"
"65","Repair and Renovation","WS/MP839/2025-2026/252192-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of a drain and tile repair work at GTV Nagar,Bali no.-2, near baba dairy Malik Market ,Block-Satwati District-Jammu","04-Dec-2025","400000","16-Jan-2026"
"66","Normal/Others","WS/MP839/2025-2026/258710-Installing tube-wells and borewells","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF SUMERSIBLE PUMP AT NEAR OLD SHIV MANDIR NHO ASIF SUNJWAN","11-Jan-2026","600000","07-Feb-2026"
"67","Normal/Others","WS/MP839/2025-2026/257310-Construction of bus-sheds or bus-stops","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Balance work of community Toilet (bathroom)near Masjid at Sunjwan lower(panchayat) Block Satwari.","05-Jan-2026","1200000","16-Jan-2026"
"68","Normal/Others","WS/MP839/2025-2026/195277-Installing community drinking water plants","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","installation testing commisioning of submersible pump set along with allied accessories at shahi swami nagar lower thathar bantalab ward no 63 district jammu","28-Apr-2025","328472","15-May-2025"
"69","Normal/Others","WS/MP839/2025-2026/257312-Construction of water tanks","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of water tank at Panchayat lower Sunjwan,District Jammu","05-Jan-2026","130000","18-Mar-2026"
"70","Normal/Others","WS/MP839/2023-2024/61661-Construction of public toilets and bathrooms","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of community bathroom at Sunjwan lower","13-Dec-2023","1998000","09-Feb-2024"
"71","Normal/Others","WS/MP839/2024-2025/174299-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Tile work from Raika Masjid bhatt colonytowards  the house of murad bibi at Raika panchayat, Sunjuwanlower,Block Satwari Tehsil Bahu District Jammu.","07-Feb-2025","519300","03-Mar-2025"
"72","Normal/Others","WS/MP839/2025-2026/258709-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","ONSTRUCTION OF LANE DRAIN FROM FROM THE HOUSE OF SHRI AVTAR SINGH AT PANCHAYAT RAJPURA VILLAGE DUB KARAM DIN BLOCK MARH","11-Jan-2026","200000","11-Feb-2026"
"73","Normal/Others","NA-Construction of public irrigation facilities","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","covering of open nallaah along side shorya smark park","29-Jan-2025","2000000","NA"
