"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"176","Normal/Others","WS/MP18226/2024-2025/169886-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara Charahe in village Ganganagar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"177","Normal/Others","WS/MP18226/2024-2025/169888-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Sidhauna intersection in village Sindhauna.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"178","Normal/Others","WS/MP18226/2024-2025/169889-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Durga Mandir intersection in Gram Panchayat Barautha village Kurminpurwa.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"179","Normal/Others","WS/MP18226/2024-2025/169854-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in Nagar Panchayat Nighasan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"180","Normal/Others","WS/MP18226/2024-2025/169918-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Syed Farm intersection in village Boudhiya Kalan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"181","Normal/Others","WS/MP18226/2024-2025/169855-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Shani Maharaj Mandir intersection in Mo. Patelnagar Chaudharypurwa Nagar Panchayt Nighasan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"182","Normal/Others","WS/MP18226/2024-2025/169919-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Kadiya intersection in Gram Panchayat Bhedauri village Belrayon.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"183","Normal/Others","WS/MP18226/2024-2025/169856-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Devhara Baba Mandir intersection in Gram Panchayat Ludhauri village Jokhipurwa.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"184","Normal/Others","WS/MP18226/2024-2025/169920-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection in village Belaparsua.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"185","Normal/Others","WS/MP18226/2024-2025/169921-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Majha.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"186","Normal/Others","WS/MP18226/2024-2025/169880-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Bamhanpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"187","Normal/Others","WS/MP18226/2024-2025/169922-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection near the house of Rajesh Chaturvedi in Atal Nagar of Nagar Panchayat Nighasan.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"188","Normal/Others","WS/MP18226/2024-2025/169881-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Dharmapur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"189","Normal/Others","WS/MP18226/2024-2025/169923-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Lalpur of Gram Panchayat Lalpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"190","Normal/Others","WS/MP18226/2024-2025/169882-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Dwarikapurva Masjid intersection of Gram Panchayat Gangabehar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"191","Normal/Others","WS/MP18226/2024-2025/169925-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Tara Nagar Mandir intersection of Gram Panchayat Mudabujurg.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"192","Normal/Others","WS/MP18226/2024-2025/169924-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Devi Mandir intersection in village Pachpedi of Gram Panchayat Mudabujurg.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"193","Normal/Others","WS/MP18226/2024-2025/169883-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Sahankheda.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"194","Normal/Others","WS/MP18226/2024-2025/169926-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near village Harisinghpur Masjid intersection of Gram Panchayat Harisinghpur.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"195","Normal/Others","WS/MP18226/2024-2025/169884-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Jama Masjid intersection in village Khamaria Koilar.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"196","Normal/Others","WS/MP18226/2024-2025/169927-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Tikona Baba intersection in village Adalabad.","UTKARSH VERMA MADHUR","KHERI","Images","21-Jan-2026","166033"
"197","Normal/Others","WS/MP18226/2025-2026/222402-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Interlocking  construction work from Sampurna Nagar Road to Sent. N. College Gate Palika Kalan","UTKARSH VERMA MADHUR","KHERI","N/A","25-Apr-2026","1781605"
"198","Normal/Others","WS/MP18226/2025-2026/217170-Installing community drinking water plants","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","R.O. Plant Installation Work for Public Drinking Water System near Gurunanak Vidya Sabha Girls Inter College, Lakhimpur Kheri.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","478463"
"199","Normal/Others","WS/MP18226/2025-2026/222575-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the Masjid in village Angadpur of Gram Panchayat Datpur Grant.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"200","Normal/Others","WS/MP18226/2025-2026/222576-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Dhyanchandra Baba Temple in Village Bujhwa of Gram Panchayat Grant No. 14.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","179755"
"201","Normal/Others","WS/MP18226/2025-2026/222577-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near village Sarkargarh Masjid of Gram Panchayat Rampur Grant No. 18.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"202","Normal/Others","WS/MP18226/2025-2026/222578-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Babarpur Bargadiya.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"203","Normal/Others","WS/MP18226/2025-2026/222579-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Ambedkar Park in village Motipur of Gram Panchayat Grant No. 14.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"204","Normal/Others","WS/MP18226/2025-2026/222580-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Lochanpur Gurudwara in Village Dalpur in Gram Panchayat Dalpur Grant.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","160967"
"205","Normal/Others","WS/MP18226/2025-2026/222588-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Chhatra veerbaba place in Gram Panchayat Grant No. 18.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"206","Normal/Others","WS/MP18226/2025-2026/222589-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the masjid in village Ujagarpur of Gram Panchayat Dalpur Grant.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"207","Normal/Others","WS/MP18226/2025-2026/222590-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near village Muradpur Masjid under Gram Panchayat Grant No. 18.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"208","Normal/Others","WS/MP18226/2025-2026/222591-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Banjarangwali temple in village Laxmipur of Gram Panchayat Koraiya Lohan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"209","Normal/Others","WS/MP18226/2025-2026/222592-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Gram Panchayat Virandavan Ambedkar Park of Gram Panchayat Rampur Datpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"210","Normal/Others","WS/MP18226/2025-2026/222593-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the house of Shri Jagdish Prasad in village Bajar ganj of Gram Panchayat Koraiya Lohan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"211","Normal/Others","WS/MP18226/2025-2026/222594-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Gurudwara in village Dhaurahra Buzurg of Gram Panchayat  Kushmori.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"212","Normal/Others","WS/MP18226/2025-2026/222595-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the house of Shri Sardar Rajwant Singh in village Manwapur Farm of Gram Panchayat Bhagoda.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","156959"
"213","Normal/Others","WS/MP18226/2025-2026/222403-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram Panchayat koraiya lohana ke gram Lakshmipur me Tirahe par Parmod Verma  ke Makan ke Pass 6th semi High Mast Light ka adhishthapan kary.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","156959"
"214","Normal/Others","WS/MP18226/2025-2026/222414-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast laight near the trisection in village Ayodhyapur in Gram Panchayat Banbudheli.","UTKARSH VERMA MADHUR","KHERI","Images","29-Jul-2026","156959"
"215","Normal/Others","WS/MP18226/2025-2026/222415-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the Tiraha in village Amberpur of Gram Panchayat Datpur Rampur.","UTKARSH VERMA MADHUR","KHERI","Images","28-Jul-2026","156959"
"216","Normal/Others","WS/MP18226/2025-2026/222416-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Datpur Rampur Majra Rampur.","UTKARSH VERMA MADHUR","KHERI","Images","28-Jul-2026","156959"
"217","Normal/Others","WS/MP18226/2025-2026/222417-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Gram panchayat ramapur grant No. 18 Tirahe ke paas 6th semi High mast light ka sthapana kary.","UTKARSH VERMA MADHUR","KHERI","Images","28-Jul-2026","156959"
"218","Normal/Others","WS/MP18226/2025-2026/222418-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Mataji temple in village Nauvakheda of G.P. Bharigwa","UTKARSH VERMA MADHUR","KHERI","Images","28-Jul-2026","156959"
"219","Normal/Others","WS/MP18226/2025-2026/222419-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Mataji temple in Gram Panchayat Sansarpur.","UTKARSH VERMA MADHUR","KHERI","Images","28-Jul-2026","156959"
"220","Normal/Others","WS/MP18226/2025-2026/222420-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the masjid in Gram Panchayat Sansarpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"221","Normal/Others","WS/MP18226/2025-2026/222421-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near village Chhattipur intersection of Gram Panchayat Rampur Grant No. 18.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"222","Normal/Others","WS/MP18226/2025-2026/222422-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the intersection in Grant No. 10 of Gram Panchayat Bankepur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"223","Normal/Others","WS/MP18226/2025-2026/222571-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the tiraha in Village Panchayat Saukhia.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"224","Normal/Others","WS/MP18226/2025-2026/222572-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the masjid in village Panchayat saukhiya.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"225","Normal/Others","WS/MP18226/2025-2026/222573-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the Tiraha in village Talfipur of Gram Panchayat Rampur Grant No. 18.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"226","Normal/Others","WS/MP18226/2025-2026/222574-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near the temple in village Dharampur of Gram Panchayat Grant No. 11.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156959"
"227","Normal/Others","WS/MP18226/2025-2026/233192-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the Mata ji temple in village Sahyhibara of Gram Panchayat Behra Multan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"228","Normal/Others","WS/MP18226/2025-2026/233193-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the temple of Baghun Bhuhar Baba in the village of Chandanapur Gram Panchayat.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"229","Normal/Others","WS/MP18226/2025-2026/233194-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Shankar ji Temple in Village Panchayat Mohaddinpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"230","Normal/Others","WS/MP18226/2025-2026/233195-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the gate of the cemetery in village Rasulpur of Gram Panchayat Rasulpur.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"231","Normal/Others","WS/MP18226/2025-2026/233197-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Sher Singh Yadav Assembly Speaker, SP in village Panchayat Muda Khalsa.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"232","Normal/Others","WS/MP18226/2025-2026/233196-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Gram Panchayat Harinagar Bazar.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"233","Normal/Others","WS/MP18226/2025-2026/233198-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the ancient Dev Sthal in Gram Panchayat Sisoukan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"234","Normal/Others","WS/MP18226/2025-2026/233199-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the village Ashrafiganj (Bhooda) temple of Gram Panchayat Sheetlpur Grant.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"235","Normal/Others","WS/MP18226/2025-2026/233200-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Hanuman temple near Maheshpur bridge in Gram Panchayat Jungle No. 13.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"236","Normal/Others","WS/MP18226/2025-2026/233202-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Tedhnath Baba temple in Magdapur village panchayat.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"237","Normal/Others","WS/MP18226/2025-2026/233201-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light at the intersection of Shri Naeem Khan in village Kaparaha of Gram Panchayat Kaparaha","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"238","Normal/Others","WS/MP18226/2025-2026/233239-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light at Gram Panchayat Baghel Chauraha.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"239","Normal/Others","WS/MP18226/2025-2026/233240-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Pappu at village Pakaria intersection of Gram Panchayat Belhari.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"240","Normal/Others","WS/MP18226/2025-2026/233244-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Kadri Masjid Chaturi road of Gram Panchayat Ameer Nagar.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","167195"
"241","Normal/Others","WS/MP18226/2025-2026/233241-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light in front of the Panchayat Bhawan in Gram Panchayat Gharathaniyan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"242","Normal/Others","WS/MP18226/2025-2026/233242-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the temple by Thakur in Gram Panchayat Gharthaniyan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"243","Normal/Others","WS/MP18226/2025-2026/233243-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Noorie Jama Masjid and Madrasa of Gram Panchayat Ameer Nagar","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","164641"
"244","Normal/Others","WS/MP18226/2025-2026/233246-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Mujha Masjid of Gram Panchayat Parasan.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"245","Normal/Others","WS/MP18226/2025-2026/233245-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Mohammadpur Noori Masjid of Gram Panchayat Ameer Nagar village.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"246","Normal/Others","WS/MP18226/2025-2026/233247-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Mohammadpur Raza Masjid in Gram Panchayat Amir Nagar village.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156974"
"247","Normal/Others","WS/MP18226/2025-2026/233249-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Mohammadpur Idgah and Madrasa Masjid of Gram Panchayat Amir Nagar.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","164641"
"248","Normal/Others","WS/MP18226/2025-2026/233248-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Auliya Masjid and Mazar of Gram Panchayat Amir Nagar.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","170261"
"249","Normal/Others","WS/MP18226/2025-2026/233272-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light near Durga Mata temple in Gram Panchayat Anjanapur","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"250","Normal/Others","WS/MP18226/2025-2026/233278-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Rajendra Singh son of Shri Amar Singh in village Bacchu Purva of Gram Panchayat Basaigapur","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","189169"
"251","Normal/Others","WS/MP18226/2025-2026/233275-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light in the playground of village Binauwa Nagar of Gram Panchayat Jungle No. 11.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"252","Normal/Others","WS/MP18226/2025-2026/233276-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light in from of Shri Manohar Yadav Pradhan son Shri Chandrabhal near Shiva temple in Gram Panchayat Narhar","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"253","Normal/Others","WS/MP18226/2025-2026/233273-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Goge son of Shri Bhogai at the intersection in Gram Panchayat Sada.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"254","Normal/Others","WS/MP18226/2025-2026/233274-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the Gram Panchayat house in village Bedha Surtiha of Gram Panchayat Jungle No. 11","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"255","Normal/Others","WS/MP18226/2025-2026/233277-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light in front of Shri Malti Prasad, near the place of Gupti Baba in village Mainha Ghat of Gram Panchayat Narhar","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"256","Normal/Others","WS/MP18226/2025-2026/233279-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of 6th semi high mast light at Mozmabad Gurudwara in Gram Panchayat Mozmabad","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","201435"
"257","Normal/Others","WS/MP18226/2025-2026/233280-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the house of Shri Chhote Salmani in village Deoria of Gram Panchayat Deoria.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"258","Normal/Others","WS/MP18226/2025-2026/233281-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light at the mausoleum in Amritapur village panchayat","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","174861"
"259","Normal/Others","WS/MP18226/2025-2026/233354-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Singh Sabha Gurdwara Krhiya in Krhiya village of Gram Panchayat Deoria.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"260","Normal/Others","WS/MP18226/2025-2026/233355-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near Ambedkar Park in village Sabar Chaura of Gram Panchayat Rajapur","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","156975"
"261","Normal/Others","WS/MP18226/2025-2026/233356-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of the 6th semi high mast light near the masjid in village Milpurwa of Gram Panchayat Sarwa.","UTKARSH VERMA MADHUR","KHERI","Images","23-Jul-2026","174861"
