"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"115","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233273","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"116","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233274","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"117","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233274","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"118","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233275","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"119","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233275","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"120","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233276","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"121","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233276","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"122","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233277","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"123","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233277","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"124","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233278","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","139766"
"125","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233278","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"126","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233279","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","151687"
"127","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233279","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49748"
"128","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233280","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"129","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233280","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"130","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233281","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","125458"
"131","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233281","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"132","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233354","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"133","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233354","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"134","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233355","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"135","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233355","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"136","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233356","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","125458"
"137","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233356","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"138","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233357","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"139","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233357","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"140","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233358","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"141","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233358","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"142","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233359","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"143","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233359","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"144","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"145","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"146","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233361","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","122903"
"147","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233361","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"148","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233362","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"149","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233362","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"150","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233363","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"151","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233363","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"152","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234498","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"153","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234498","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"154","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234499","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"155","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234499","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"156","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234500","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"157","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234500","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"158","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234501","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"159","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234501","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"160","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234502","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"161","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234502","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"162","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234503","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"163","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234503","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"164","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234504","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"165","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/234504","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49403"
"166","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252457","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"167","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252457","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"168","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252458","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"169","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252458","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"170","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252459","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"171","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252459","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"172","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252461","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"173","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252461","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"174","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252462","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"175","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252462","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"176","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252463","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"177","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252463","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"178","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252464","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"179","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252464","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"180","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252465","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"181","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252465","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"182","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252466","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"183","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252466","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"184","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252467","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"185","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252467","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"186","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252468","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"187","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252468","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"188","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252469","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"189","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252469","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"190","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252470","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"191","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252470","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"192","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252471","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"193","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252471","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"194","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252472","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"195","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252472","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"196","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252473","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"197","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252473","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"198","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252474","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"199","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252474","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"200","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252475","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"201","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252475","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"202","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252476","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"203","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252476","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"204","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252477","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"205","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252477","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"206","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252478","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"207","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252478","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"208","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252479","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"209","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252479","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"210","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252480","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"211","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252480","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"212","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252498","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"213","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252498","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"214","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252499","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"215","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252499","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"216","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252500","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"217","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252500","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"218","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252501","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"219","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252501","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"220","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252502","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"221","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252502","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"222","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252503","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"223","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252503","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"224","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252504","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"225","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252504","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"226","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252505","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"227","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252505","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
"228","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252506","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","24-Mar-2026","Shiv kumar thekedar","Payment Success","107562"
"229","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/252506","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2026","Shiv kumar thekedar","Payment Success","49397"
