"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"55","Normal/Others","WS/MP019/2023-2024/46809-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Construction work of community multipurpose building near Durgaji temple in village Tilauli Kalan of development block Ghorval.","07-Nov-2023","23-Feb-2024","5000000","Work Completed"
"56","Normal/Others","WS/MP019/2023-2024/48381-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Construction of public multipurpose building on public land near Gurudwara Shankar Ji Temple in Gram Panchayat Mewarpur.","10-Nov-2023","22-Feb-2024","4989621.58","Physical Inspection"
"57","Normal/Others","WS/MP019/2023-2024/48507-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Construction work of building for teaching in Vindhya Girls Post Graduate College.","10-Nov-2023","22-Feb-2024","2500000","Work partially Completed"
"58","Normal/Others","WS/MP019/2023-2024/48508-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Construction work of building for teaching in Gurudwara Inter Intermediate College Chopan.","10-Nov-2023","22-Feb-2024","2500000","Work Completed"
"59","Normal/Others","WS/MP195/2025-2026/77745-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Amar Shaheed Virangna Raani Avantibai Lodhi Sansthan, Near Buddheswar Chauk, Mohan Road, Lucknow","08-Jan-2024","12-Dec-2025","2000000","Vendor Identification"
"60","Normal/Others","WS/MP18302/2024-2025/143299-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","Construction of additional rooms for students study","26-Sep-2024","09-Dec-2024","3000000","Physical Inspection"
"61","Normal/Others","WS/MP196/2024-2025/173988-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of Labour rooms and Staff room etc. in Bhanwapur Sidharthnagar.","06-Feb-2025","12-Mar-2025","6950000","Vendor Identification"
"62","Normal/Others","WS/MP182/2023-2024/15724-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","Construction of Boundary wall in A.D. Gov. Kanya inter college gkp","03-Sep-2023","21-Oct-2023","729992","Physical Inspection"
"63","Normal/Others","WS/MP202/2023-2024/17127-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Block Sujanganj Gram Balwarganj  Me Acharya Chandra Dev Mani Madhyamik Sanskrit Vidhyalay Me BOundry Wall Ka Karya","06-Sep-2023","12-Oct-2023","690762","Physical Inspection"
"64","Normal/Others","WS/MP196/2023-2024/74152-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of boundary walls of existing public and community buildings in Gujrauliya Grant, District Sidharth Nagar","03-Jan-2024","12-Feb-2024","2656000","Vendor Identification"
"65","Normal/Others","WS/MP186/2023-2024/81764-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of boundary wall of Ayurveda Hospital Kota Ghat","14-Jan-2024","23-Feb-2024","3000000","Vendor Identification"
"66","Normal/Others","WS/MP186/2023-2024/81780-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","construction of boundary wall of wedding house.","14-Jan-2024","21-Feb-2024","2990972","Physical Inspection"
"67","Normal/Others","WS/MP186/2023-2024/81788-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction work of Barauha Umaria Instrument Cooperative Society Boundary Wall","14-Jan-2024","21-Feb-2024","2000000","Vendor Identification"
"68","Normal/Others","WS/MP195/2023-2024/92211-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Construction of Graveyard boundary wall","30-Jan-2024","07-Mar-2024","2038097","Physical Inspection"
"69","Normal/Others","WS/MP187/2024-2025/139508-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","GRAM FAZALPUR NIKAT HINDOLI MEIN AMBEDKAR PARK KI BOUNDRYWALL, LENGTH= 225 Mtrs. Cost.= Rs. 1720000.","06-Sep-2024","21-Oct-2024","1720000","Vendor Identification"
"70","Normal/Others","WS/MP186/2024-2025/141232-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of boundary wall of public place near Ram Bhajan Das Seva Ashram located in Village Panchayat Kuba Khurd Block Rajgarh","16-Sep-2024","17-Feb-2025","4000000","Physical Inspection"
"71","Normal/Others","WS/MP186/2024-2025/141235-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of boundary wall at public place near Ram Janaki temple in village Manigarha Block Halia","16-Sep-2024","17-Feb-2025","3000000","Vendor Identification"
"72","Normal/Others","WS/MP186/2024-2025/141252-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of boundary wall of public wedding celebration house in Village Panchayat Kusiyara Block Halia","16-Sep-2024","17-Feb-2025","3000000","Vendor Identification"
"73","Normal/Others","WS/MP887/2024-2025/151290-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","26. Renovation work of Basic School Sadrauna, Block Sarojini Nagar, Lucknow and construction work of boundary wall under Sarojini Nagar First Ward.","07-Nov-2024","26-Dec-2024","1500000","Work partially Completed"
