"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15","Nagaland","Construction of public toilets and bathrooms","WS/MP233/2023-2024/56818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","25-Apr-2024","MANLI KONYAK","Payment Success","500000"
"16","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Dec-2023","T N NAIWANG KONYAK","Payment Success","500000"
"17","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56829","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","09-Mar-2024","T N NAIWANG KONYAK","Payment Success","500000"
"18","Nagaland","Construction of public irrigation facilities","WS/MP233/2023-2024/56830","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","18-Dec-2023","TEMWANG","Payment Success","2000000"
"19","Nagaland","Construction of public irrigation facilities","WS/MP233/2023-2024/56830","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Feb-2024","TEMWANG","Payment Success","2000000"
"20","Nagaland","Construction of public toilets and bathrooms","WS/MP233/2024-2025/56847","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","08-Aug-2024","MELANDIALLIU NBUNG","Payment Success","500000"
"21","Nagaland","Construction of public toilets and bathrooms","WS/MP233/2024-2025/56847","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Sep-2024","MELANDIALLIU NBUNG","Payment Success","500000"
"22","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2024-2025/133814","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Oct-2024","Imnasenla Lemtur","Payment Success","1000000"
"23","Nagaland","Construction of footpaths and pedestrian ways","WS/MP233/2024-2025/133814","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Dec-2024","Imnasenla Lemtur","Payment Success","1000000"
"24","Nagaland","Construction of community centers and community halls","WS/MP233/2024-2025/133815","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","18-Dec-2024","YIBOMO LOTHA","Payment Success","1500000"
"25","Nagaland","Construction of community centers and community halls","WS/MP233/2024-2025/133815","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Feb-2025","YIBOMO LOTHA","Payment Success","1000000"
"26","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133816","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","30-Jan-2025","Ruokuokhrielie Alex Rutsa","Payment Success","500000"
"27","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133816","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","28-Mar-2025","Ruokuokhrielie Alex Rutsa","Payment Success","500000"
"28","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133817","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","12-Sep-2024","Y YINGLIH","Payment Success","1500000"
"29","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133817","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","19-Nov-2024","Y YINGLIH","Payment Success","1500000"
"30","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2024-2025/133818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Aug-2024","Y C Chingkap Konyak","Payment Success","12500000"
"31","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2024-2025/133818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Mar-2025","Y C Chingkap Konyak","Payment Success","12500000"
"32","Nagaland","Purchase of IT systems, including hardware and software for educational purposes","WS/MP233/2024-2025/133819","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","07-Sep-2024","PRINCIPAL ST XAVIER COLLEGE","Payment Success","1500000"
"33","Nagaland","Development of public parks","WS/MP233/2024-2025/133820","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","03-Dec-2024","THOMAS MAGH","Payment Success","250000"
"34","Nagaland","Development of public parks","WS/MP233/2024-2025/133820","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","20-Dec-2024","THOMAS MAGH","Payment Success","250000"
"35","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2024-2025/133821","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","18-Dec-2024","NZANO P KIKON","Payment Success","250000"
"36","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2024-2025/133821","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Feb-2025","NZANO P KIKON","Payment Success","250000"
"37","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133822","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","29-Nov-2024","PANGZEI N KONYAK","Payment Success","500000"
"38","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2024-2025/133822","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Mar-2025","PANGZEI N KONYAK","Payment Success","500000"
"39","Nagaland","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP233/2024-2025/133823","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","05-Aug-2024","PHANWANG KONYAK","Payment Success","3000000"
"40","Nagaland","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP233/2024-2025/133823","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","31-Mar-2025","PHANWANG KONYAK","Payment Success","3000000"
"41","Nagaland","Development of playfields and sports grounds","WS/MP233/2024-2025/133824","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","18-Dec-2024","CHENIRAO","Payment Success","600000"
"42","Nagaland","Development of playfields and sports grounds","WS/MP233/2024-2025/133824","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","21-Feb-2025","CHENIRAO","Payment Success","400000"
"43","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2024-2025/133825","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","01-Mar-2025","VIPIHO RHETSO","Payment Success","750000"
"44","Nagaland","Construction of common work sheds/ common covered sitting area","WS/MP233/2024-2025/133825","KOHIMA(DEPUTY COMMISIONER_7)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","28-Mar-2025","VIPIHO RHETSO","Payment Success","750000"
"45","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2024-2025/133826","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","09-Nov-2024","N AMSHA KONYAK","Payment Success","600000"
