work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP053/2025-2026/196456,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the plot of lalan prasad towards the plot of Kush singh,2025-05-03,1492600.0,2025-06-10,1492600.0,Physical Inspection,1.0,1492600.0,1492600.0,1492600.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-16,1492600.0,1.0,0.0,38.0,0.0,128.0,1
Normal/Others,WS/MP053/2025-2026/196459,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of rajesh kumar to the house of Kishor Sharma in Aashirvaad colony,2025-05-03,1492400.0,2025-06-10,1492400.0,Physical Inspection,1.0,1492400.0,1492400.0,1492400.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492400.0,1.0,0.0,38.0,0.0,129.0,1
Normal/Others,WS/MP053/2025-2026/196460,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Shivkumar jee to the boundary of Anuj Thakur,2025-05-03,1492200.0,2025-06-10,1492200.0,Physical Inspection,1.0,1492200.0,1492200.0,1492200.0,2025-10-18,2025-10-18,ASSISTANT ENGINEER FATUHA,True,2025-10-17,1492200.0,1.0,0.0,38.0,0.0,129.0,1
Normal/Others,WS/MP053/2025-2026/200098,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC Road from the plot of Manoj Singh to the Chhath Ghat in Chainpur Village,2025-05-16,1366904.0,2025-06-10,1366904.0,Physical Inspection,1.0,1366904.0,1366904.0,1366904.0,2025-07-16,2025-07-16,ASSISTANT ENGINEER FATUHA,True,2025-07-16,1366904.0,1.0,0.0,25.0,0.0,36.0,1
Normal/Others,WS/MP053/2025-2026/220152,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Dhananjay Singh towards the house of Kundan jee,2025-07-19,1489200.0,2025-08-25,1489200.0,Physical Inspection,1.0,1489200.0,1489200.0,1489200.0,2025-11-20,2025-11-20,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-19,1489200.0,1.0,0.0,37.0,0.0,86.0,1
Normal/Others,WS/MP053/2025-2026/220153,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC Road from Kalindi residence towards the house of shashi jee,2025-07-19,1497200.0,2025-08-25,1497200.0,Physical Inspection,1.0,1497200.0,1497200.0,1497200.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1497200.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220154,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of keshri Bhavan towards the house of Naveen Kumar,2025-07-19,1495900.0,2025-08-25,1495900.0,Physical Inspection,1.0,1495900.0,1495900.0,1495900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1495900.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220155,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Ashok Mahto towards the house of shyam singh,2025-07-19,1494900.0,2025-08-25,1494900.0,Physical Inspection,1.0,1494900.0,1494900.0,1494900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1494900.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220156,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of pcc road from the house of yash jee towards  the house of mukh sadak,2025-07-19,1493100.0,2025-08-25,1493100.0,Physical Inspection,1.0,1493100.0,1493100.0,1493100.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1493100.0,1.0,0.0,37.0,0.0,82.0,1
Normal/Others,WS/MP053/2025-2026/220169,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of Akhilesh jee to the house of Prakash jee,2025-07-19,1490900.0,2025-08-25,1490900.0,Physical Inspection,1.0,1490900.0,1490900.0,1490900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1490900.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220170,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the house of Raju Kumar to the house of Dinesh Mahto,2025-07-19,1484200.0,2025-08-25,1484200.0,Physical Inspection,1.0,1484200.0,1484200.0,1484200.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1484200.0,1.0,0.0,37.0,0.0,82.0,1
Normal/Others,WS/MP053/2025-2026/220171,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of tuntun kumar towards the house of ram khelawal mahto,2025-07-19,1478900.0,2025-08-25,1478900.0,Physical Inspection,1.0,1478900.0,1478900.0,1478900.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1478900.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220172,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of PCC road from the house of manoj Mahto to the house of Ram Jee,2025-07-19,1484200.0,2025-08-25,1484200.0,Physical Inspection,1.0,1484200.0,1484200.0,1484200.0,2025-11-28,2025-11-28,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-28,1484200.0,1.0,0.0,37.0,0.0,95.0,1
Normal/Others,WS/MP053/2025-2026/220173,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,Construction of pcc road from the house of dina jee to the house of Rajeev Yadav,2025-07-19,1489100.0,2025-08-25,1489100.0,Physical Inspection,1.0,1489100.0,1489100.0,1489100.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1489100.0,1.0,0.0,37.0,0.0,82.0,1
Normal/Others,WS/MP053/2025-2026/220194,Bihar,PATNA,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,construction of PCC road from the house of Mukesh Kumar towards the house of Rajendra Mahto,2025-07-19,1492400.0,2025-08-25,1492400.0,Physical Inspection,1.0,1492400.0,1492400.0,1492400.0,2025-11-17,2025-11-17,ASSISTANT ENGINEER PATNA SAHIB,True,2025-11-15,1492400.0,1.0,0.0,37.0,0.0,82.0,1
