work_type,work_id,state,district,mp_name,constituency,work_description,recommendation_date,recommended_amount,sanction_date,sanctioned_amount,work_status,payment_count,total_disbursed,average_payment,maximum_payment,first_payment_date,last_payment_date,vendor_name,image_available,actual_completion_date,final_completed_amount,expenditure_ratio,amount_deviation,sanction_delay_days,payment_duration_days,completion_duration_days,vendor_count_per_work
Normal/Others,WS/MP084/2024-2025/39238,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,498480.0,2024-09-13,498480.0,Physical Inspection,1.0,498480.0,498480.0,498480.0,2025-07-28,2025-07-28,LINGARAJ YADAV J,False,2025-07-28,498480.0,1.0,0.0,329.0,0.0,318.0,1
Normal/Others,WS/MP084/2024-2025/39273,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-20,500000.0,2024-07-10,500000.0,Work partially Completed,1.0,499754.0,499754.0,499754.0,2024-07-11,2024-07-11,LINGARAJ YADAV J,,,,0.999508,0.0,264.0,0.0,,1
Normal/Others,WS/MP084/2024-2025/39274,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete road development work.,2023-10-20,500000.0,2024-07-10,500000.0,Work partially Completed,1.0,499669.0,499669.0,499669.0,2024-07-11,2024-07-11,LINGARAJ YADAV J,,,,0.999338,0.0,264.0,0.0,,1
Normal/Others,WS/MP084/2024-2025/38416,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road Development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499420.0,2024-09-24,499420.0,Physical Inspection,1.0,499420.0,499420.0,499420.0,2024-10-21,2024-10-21,SURESH S PASODI,False,2024-10-21,499420.0,1.0,0.0,342.0,0.0,27.0,1
Normal/Others,WS/MP084/2024-2025/38417,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-18,499400.0,2024-09-24,499400.0,Physical Inspection,1.0,499400.0,499400.0,499400.0,2025-01-03,2025-01-03,Tejas Bn,False,2025-01-03,499400.0,1.0,0.0,342.0,0.0,101.0,1
Normal/Others,WS/MP084/2024-2025/38465,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.",2023-10-19,476119.0,2024-07-02,476119.0,Physical Inspection,1.0,476119.0,476119.0,476119.0,2024-07-18,2024-07-18,ARAVIND H L,False,2024-07-18,476119.0,1.0,0.0,257.0,0.0,16.0,1
Normal/Others,WS/MP084/2024-2025/38466,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North, Bangalore Urban.",2023-10-19,499000.0,2024-07-02,499000.0,Physical Inspection,1.0,499000.0,499000.0,499000.0,2024-12-02,2024-12-02,SIDDALING,False,2024-12-02,499000.0,1.0,0.0,257.0,0.0,153.0,1
Normal/Others,WS/MP084/2024-2025/38666,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work.,2023-10-19,500000.0,2024-07-10,500000.0,Work partially Completed,1.0,499847.0,499847.0,499847.0,2024-07-10,2024-07-10,SHWETHA NANDINI NTERPRISES,,,,0.999694,0.0,265.0,0.0,,1
Normal/Others,WS/MP084/2024-2025/38667,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,Concrete Road development work from Tavarekere village to Magadi main road.,2023-10-19,500000.0,2024-07-10,500000.0,Work partially Completed,1.0,499847.0,499847.0,499847.0,2024-07-10,2024-07-10,SHWETHA NANDINI NTERPRISES,,,,0.999694,0.0,265.0,0.0,,1
Normal/Others,WS/MP084/2024-2025/38757,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road development work, Ramohalli, Ramohalli Grama Panchayat, Kengeri Hobli, Bangalore South Taluk, Bangalore Urban.",2023-10-19,499617.0,2025-03-20,499617.0,Physical Inspection,1.0,499617.0,499617.0,499617.0,2025-03-20,2025-03-20,ABHISHEK GOWDA N,False,2025-03-20,499617.0,1.0,0.0,518.0,0.0,0.0,1
Normal/Others,WS/MP084/2024-2025/38758,Karnataka,BENGALURU URBAN,Shri Jaggesh (2022-28) (2022-2028),Elected MP,"Road development work, Ramohalli Village, Ramohalli Grama Panchayat, Kengeri Hobli, Bangalore South Taluk, Bangalore Urban.",2023-10-19,499617.0,2025-03-20,499617.0,Physical Inspection,1.0,499617.0,499617.0,499617.0,2025-03-25,2025-03-25,MANJAMMA M,False,2025-03-25,499617.0,1.0,0.0,518.0,0.0,5.0,1
