"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"50","Normal/Others","WS/MP18333/2026-2027/295420-Construction of common work sheds/ common covered sitting area","Uttarakhand","Rudraprayag(DM Rudraprayag_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Vikas khand ukhimath ke gram bhingi me chandika tok me tin shed nirman hetu, K.S.- Khand Vikash adhikari ukhimath","15-Jul-2026","19-Aug-2026","500000","Sanction"
"51","Normal/Others","WS/MP18333/2026-2027/295429-Construction of common work sheds/ common covered sitting area","Uttarakhand","Rudraprayag(DM Rudraprayag_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","vikash khand Augustmuni ke gram basti me bharkeshwar tok me tin shed tatha Shochalay nirman hetu, K.S.- Khand vikas adhikari Augustmuni","15-Jul-2026","10-Aug-2026","500000","Sanction"
"52","Trust and Society","WS/MP850/2024-2025/145825-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","PITHORAGARH(NRLM , pithoragarh)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","MAHILA ASHRAM MUWANI MEIN VIRDH MAHILAON KE NIWAS KE LIYE EK BHAWAN KA NIRMAN KARYA..","07-Oct-2024","20-Dec-2024","3000000","Physical Inspection"
"53","Normal/Others","WS/MP204/2025-2026/154623-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of building in Savitri Saxena Premnarayan Saraswati Shishu Mandir, Railway Road Roorkee.","25-Nov-2024","08-Apr-2025","1500000","Work Completed"
"54","Normal/Others","WS/MP204/2025-2026/162158-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of two class rooms in Vasudev Lal Maithil Saraswati Vidya Mandir, Roorkee, Haridwar","28-Dec-2024","08-Apr-2025","2000000","Work Completed"
"55","Trust and Society","WS/MP850/2024-2025/165399-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","KARNAL(DEPUTY COMMISSIONER KARNAL)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","MAHARAJA AGGARSAIN CHARITABLE TRUST BHAWAN MEIN KAKSH YA HALL KA NIRMAN KARYA.","14-Jan-2025","25-Mar-2025","1500000","Physical Inspection"
"56","Normal/Others","WS/MP204/2025-2026/167835-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of separate toilets for boys and girls in Satya Narayan Mandir Inter College, Makhdoompur, District Haridwar","24-Jan-2025","03-Apr-2025","500000","Work Completed"
"57","Normal/Others","WS/MP204/2025-2026/174235-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of roof at the crematorium in village Sadhauli, post Jhabreda, block Narsan","11-Feb-2025","03-Apr-2025","1000000","Work Completed"
"58","Normal/Others","WS/MP204/2024-2025/176261-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of roof at cremation ground in Scheduled Caste Village Sarai, Block Bahadarabad, District Haridwar","27-Feb-2025","27-Mar-2025","1000000","Time Estimation"
"59","Normal/Others","WS/MP204/2025-2026/234520-Construction of additional rooms and halls in the existing public and community building","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","construction of a room above the Verandah on the first floor of Mahatma jyoti Ba Phule Saini Dharmshala Roorkee","18-Sep-2025","28-Jan-2026","400000","Sanction"
