"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"443","Trust and Society","WS/MP145/2025-2026/193233-Construction of shelters for animals","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Animal Shed Development Work in Shri Surbhi Van Evam Shodh Sansthan (Shri Jadkhor Dham), Deeg","22-Apr-2025","25-Jun-2025","5000000","Vendor Identification"
"444","Trust and Society","WS/MP18295/2025-2026/202514-Construction of shelters for animals","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Boundary Wall and levelling work at Goshala, Sachiyay Gau Seva Committee, Gogadiyawali Bhadal, Panchayat Samiti Bajju Khalsa, District Bikaner","22-May-2025","18-Jun-2025","1000000","Work partially Completed"
"445","Normal/Others","WS/MP145/2026-2027/241078-Construction of shelters for animals","Rajasthan","Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Ramchandra Veer Gaushala Seva Samiti Dwara Panchkhandpeeth Lokmangal Trust Gopipur me sanchalit gaushala me tinshed nirman and chardiwari nirman kary","09-Oct-2025","13-Jul-2026","1500000","Sanction"
"446","Normal/Others","WS/MP146/2023-2024/11203-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Grewal Road from Damar Road to Kaudada Mandir in Gram Panchayat Ketoo Hama, P.S. Sekhala, Dist. Jodhpur","19-Aug-2023","08-Sep-2023","1500000","Vendor Identification"
"447","Normal/Others","WS/MP146/2023-2024/11784-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JALORE(DISTRICT COLLECTOR JALORE_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Damrikaran WBM Sadak Jalberi Sadak to Gaushala, Gram Panchayat Dungri, P.S. Chitalwana, Dist. Jalore","21-Aug-2023","22-Sep-2023","1530000","Time Estimation"
"448","Normal/Others","WS/MP146/2023-2024/11883-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","KARAULI(DISTRICT COLLECTOR KARAULI_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of C.C. /Interlocking Road from Chhote Sua residence towards Bairwa village, Gram Panchayat Gorda, P.S./Block Todabhim, Karauli","21-Aug-2023","23-Feb-2024","999890","Physical Inspection"
"449","Normal/Others","WS/MP146/2023-2024/12652-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of CC/Interlocking from the residence of Bhaukri  via Hareram Bairwa residence to Balai ki Dhani, Village Bhandodi, Malkheda, Alwar","24-Aug-2023","15-Jan-2024","985431","Physical Inspection"
"450","Normal/Others","WS/MP146/2024-2025/12654-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of CC Road/Interlocking in Bairwa Basti, Village Dangarwada, Gram Panchayat Nayagaon Baulka, Dist. Alwar","24-Aug-2023","31-Jul-2024","994563","Physical Inspection"
"451","Normal/Others","WS/MP146/2023-2024/14909-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Road construction from Damar Sadak to Government Primary School's tala, G.P. Meethra Khurd, Dhorimanna, Dist. Barmer","01-Sep-2023","06-Dec-2023","1500000","Physical Inspection"
"452","Normal/Others","WS/MP145/2024-2025/26819-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CC Block Kharanja Road Development work from Jawara Ram Bhakhar's Farm to Bhawar Singh Shekhawat's House in Village Tarpura, Panchayat Samiti Piprali (Sikar)","26-Sep-2023","20-Jun-2024","1952983","Physical Inspection"
