"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1609","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1610","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Nandha and Co","Payment Success","48025"
"1611","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Banarsi Dass and Sons","Payment Success","59968"
"1612","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Kali Ram Ved Parkash","Payment Success","72000"
"1613","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","Kali Ram Ved Parkash","Payment Success","72000"
"1614","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","21-Apr-2026","Prrem Kumar","Payment Success","101952"
"1615","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","12-May-2026","Prrem Kumar","Payment Success","108212"
"1616","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","21-May-2026","Sumit Trading Company","Payment Success","70200"
"1617","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Jun-2026","Prrem Kumar","Payment Success","145300"
"1618","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Banarsi Dass and Sons","Payment Success","102538"
"1619","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jun-2026","Sonu Singh","Payment Success","138966"
"1620","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jul-2026","Kali Ram Ved Parkash","Payment Success","72000"
"1621","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Jul-2026","Sonu Singh","Payment Success","138966"
"1622","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Prrem Kumar","Payment Success","130836"
"1623","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Banarsi Dass and Sons","Payment Success","8161"
"1624","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP235/2025-2026/267405","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Billa Contractor","Payment Success","63976"
"1625","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","524875"
"1626","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28000"
"1627","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","231600"
"1628","Punjab","Construction of rooms and halls in school and colleges","WS/MP235/2025-2026/267406","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","215525"
"1629","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","16-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","151145"
"1630","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Baba Inder Dass Public Sen Sec School","Payment Success","127580"
"1631","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","10-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","111500"
"1632","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"1633","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"1634","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","28500"
"1635","Punjab","Construction of toilet blocks","WS/MP235/2025-2026/267407","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Baba Inder Dass Public Sen Sec School","Payment Success","11400"
