"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"54","Normal/Others","WS/MP053/2025-2026/220169-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Akhilesh jee to the house of Prakash jee","19-Jul-2025","1490900","25-Aug-2025"
"55","Normal/Others","WS/MP053/2025-2026/220170-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from the house of Raju Kumar to the house of Dinesh Mahto","19-Jul-2025","1484200","25-Aug-2025"
"56","Normal/Others","WS/MP053/2025-2026/220171-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of tuntun kumar towards the house of ram khelawal mahto","19-Jul-2025","1478900","25-Aug-2025"
"57","Normal/Others","WS/MP053/2025-2026/220172-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of manoj Mahto to the house of Ram Jee","19-Jul-2025","1484200","25-Aug-2025"
"58","Normal/Others","WS/MP053/2025-2026/220173-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of pcc road from the house of dina jee to the house of Rajeev Yadav","19-Jul-2025","1489100","25-Aug-2025"
"59","Normal/Others","WS/MP053/2025-2026/220194-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from the house of Mukesh Kumar towards the house of Rajendra Mahto","19-Jul-2025","1492400","25-Aug-2025"
"60","Normal/Others","WS/MP053/2025-2026/220195-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC from the house of Mithlesh jee to the house of Balram Yadav","19-Jul-2025","1486900","25-Aug-2025"
"61","Normal/Others","WS/MP053/2025-2026/220196-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house of Ritesh Yadav to the house of Karn Sharma","19-Jul-2025","1489700","25-Aug-2025"
"62","Normal/Others","WS/MP053/2025-2026/220197-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from the house of Sinha jee to the house of Dharmendra Kumar","19-Jul-2025","616800","25-Aug-2025"
"63","Normal/Others","WS/MP053/2025-2026/229738-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road from Nehru Path near kotwali Thana  to Shiv Mandir","28-Aug-2025","1298000","12-Sep-2025"
