"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1765","Normal/Others","WS/MP198/2023-2024/7948-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????????? ?????? ????? ??? ????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1766","Normal/Others","WS/MP198/2023-2024/7960-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ??????  ??? ???? ?????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1767","Normal/Others","WS/MP198/2023-2024/7938-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ?????? ?????? ?????? ??????? ??? ????????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1768","Normal/Others","WS/MP198/2023-2024/7937-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ?????? ?????? ?????? ??????? ??? ????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1769","Normal/Others","WS/MP198/2023-2024/7936-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ?????? ?????? ?????? ??????? ??? ?????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1770","Normal/Others","WS/MP198/2023-2024/7935-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ?????? ?????? ?????? ??????? ??? ?????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1771","Normal/Others","WS/MP198/2023-2024/7934-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","?????? ??????? ??? ????????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1772","Normal/Others","WS/MP198/2023-2024/7933-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???????? ?????? ??????? ??? ???????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1773","Normal/Others","WS/MP198/2023-2024/7932-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????? ??? ??? ?????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1774","Normal/Others","WS/MP198/2023-2024/7946-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???? ?????? ????? ??? ?????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1775","Normal/Others","WS/MP198/2023-2024/7945-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???????? ??? ??????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1776","Normal/Others","WS/MP198/2023-2024/7944-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ???????? ??? ????? ??? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1777","Normal/Others","WS/MP198/2023-2024/7943-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","??0 ?????? ?????? ???? ?????? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
"1778","Normal/Others","WS/MP198/2023-2024/7942-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","????? ????? ?????? ?????? ??? ?????? ???? ?? ?????? ????????? ???? ?? ??0?0??0 ???? ??? ????? ???? ?? ????????? ??????","Shri Ramji (2020-26) (NaN-NaN)","Elected MP","N/A","28-Feb-2024","283000"
