"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"25","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2023-2024/13590","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Nov-2023","Gram Panchayat Nakradi","Payment Success","500000"
"26","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/13591","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","250000"
"27","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2023-2024/13592","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Jul-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","250000"
"28","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13594","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","150000"
"29","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13595","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Feb-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","100000"
"30","Himachal Pradesh","Construction of public toilets and bathrooms","WS/MP078/2023-2024/13596","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","200000"
"31","Himachal Pradesh","Construction of bus-sheds or bus-stops","WS/MP078/2023-2024/13597","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","16-Jan-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","200000"
"32","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13598","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Jan-2024","MPLAS RS BDO BIJHARI","Payment Success","200000"
"33","Himachal Pradesh","Construction of culverts and bridges","WS/MP078/2023-2024/13599","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Jul-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","200000"
"34","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/25068","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","26-Jul-2024","Ashish Thakur","Payment Success","442089"
