"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"642","Normal/Others","WS/MP840/2025-2026/195439-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","CC road at ST colony Hindu Burial ground west copound wall of east gate of challapalli village","29-Apr-2025","04-Jun-2025","818442","Physical Inspection"
"643","Normal/Others","WS/MP840/2025-2026/195442-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","CC Road at ST  colont Hindu burial ground East gate to 6th canal of challapalli Village","29-Apr-2025","04-Jun-2025","555815","Physical Inspection"
"644","Normal/Others","WS/MP840/2025-2026/215455-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from Eduluru to Kurumarthy from 0.500 to 0.750 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"645","Normal/Others","WS/MP840/2025-2026/215456-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 0.750 to 1 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"646","Normal/Others","WS/MP840/2025-2026/215457-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 1km to 1.250 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"647","Normal/Others","WS/MP840/2025-2026/215458-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 1.250 to 1.500 Km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"648","Normal/Others","WS/MP840/2025-2026/215486-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumurthy from 1.500 to 1.750 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"649","Normal/Others","WS/MP840/2025-2026/215490-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Metaling on road from eduluru to kurumarthy from 1.750 to 2 km","07-Jul-2025","31-Jul-2025","500000","Sanction"
"650","Normal/Others","WS/MP840/2024-2025/180390-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT Road from Amalapuram Bobbarlanka road to vakalapudi Suribabu field at Vaddiparru V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
"651","Normal/Others","WS/MP840/2024-2025/180393-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing BT road from vakalapudi suribabu field to Ayinam Satyanarayana field at vaddipattu V of Atreyapuram M","08-Mar-2025","29-Mar-2025","499263","Physical Inspection"
