"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"240","Normal/Others","WS/MP096/2024-2025/132533-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chekkath - Kaipatta Naduvil road /pathway, Ward No. 01, Othukkungal Panchayat","14-Jun-2024","12-Jul-2024","356297","Physical Inspection"
"241","Normal/Others","WS/MP096/2024-2025/132534-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Paarangadi SC Colony road /pathway, ward No. 07, Othukkungal Panchayat (SC)","14-Jun-2024","12-Jul-2024","127296","Physical Inspection"
"242","Normal/Others","WS/MP096/2024-2025/132535-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Panakkad Palli canteen road /pathway, Ward No.37, Malappuram Municipality","14-Jun-2024","15-Jun-2024","971608","Physical Inspection"
"243","Normal/Others","WS/MP099/2024-2025/132661-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Valora-Vayalarambu-Pannimoola Road, Iritty Municipality, Kannur District","20-Jun-2024","28-Jun-2024","2464470","Physical Inspection"
"244","Normal/Others","WS/MP099/2024-2025/132780-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of the remaining portion of the concreted road (starting from School Padi) that remains as Earthen Road from RemaSivan Padi to Moozhickal Mohanan Padi in Ward. No. X of Naranammoozhy GP (ST)","26-Jun-2024","27-Jun-2024","1162112","Physical Inspection"
"245","Normal/Others","WS/MP099/2024-2025/132941-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of “Chittakkattupadi – Sajan Store Nadappatha” in Ward No. VIII of Nedumpuram Grama Panchayat (S.C).","04-Jul-2024","25-Sep-2024","966662","Physical Inspection"
"246","Normal/Others","WS/MP099/2024-2025/132942-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Nellickal Padi-Puliyil Colony Padi Road that runs through Ward Nos. 31,32 & 33 of Pandalam Municipality. (SC)","04-Jul-2024","05-Nov-2024","2000000","Physical Inspection"
"247","Normal/Others","WS/MP099/2025-2026/132948-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Paving Tiles in Paithalmala trek pathway – Paving of trek path leading to the grassland on the Manjapullu approach of Paithalmala Ecotourism destination with suitable materials (with materials that blend-in with the nature), Alakode Grama Panchayat, Kannur District","04-Jul-2024","19-Jun-2025","2000000","Physical Inspection"
"248","Normal/Others","WS/MP099/2024-2025/132950-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Poolakutty - Vellara - Nellanikkal road, Kanichar Grama Panchayat, Kannur District","04-Jul-2024","28-Oct-2024","1579330","Physical Inspection"
"249","Normal/Others","WS/MP096/2024-2025/132959-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kalathumpadi - Thottappaya, road/pathway, Ward No. 04, Chalavara Panchayat","04-Jul-2024","30-Dec-2024","238484","Physical Inspection"
"250","Normal/Others","WS/MP096/2024-2025/132960-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Pallimukku - Chembalath colonythodu road/pathway, Ward No. 04, Chalavara Panchayat (SC)","04-Jul-2024","30-Dec-2024","407336","Physical Inspection"
"251","Normal/Others","WS/MP096/2024-2025/132961-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chemmatupadi road/pathway, Ward No. 1, Nellaya Panchayat (SC)","04-Jul-2024","01-Nov-2024","422950","Physical Inspection"
"252","Normal/Others","WS/MP099/2024-2025/133001-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Nariyanmavu Colony-Ponmala-Mannamkundu Road,Ward No.IX, Naduvil  Grama Panchayath","05-Jul-2024","24-Oct-2024","490869","Physical Inspection"
