"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"226","Normal/Others","WS/MP18431/2025-2026/249778-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of road cum guard wall with RCC Culvert at Bank Colony, Jyotikuchi.","20-Nov-2025","26-Feb-2026","2000000","Vendor Identification"
"227","Normal/Others","WS/MP18431/2025-2026/249779-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of road at Zubeen Garg path, Nowagaon, Guwahati","20-Nov-2025","20-Jan-2026","2000000","Vendor Identification"
"228","Normal/Others","WS/MP18431/2025-2026/249780-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Road from Pradip Das house to Uday Basumatary  house at Bodorutup.","20-Nov-2025","28-Jan-2026","1500000","Vendor Identification"
"229","Normal/Others","WS/MP18431/2025-2026/249781-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const. of road from B.S. Link Road to Ram Das house at Sundoridia, Budorutup.","20-Nov-2025","28-Jan-2026","1500000","Vendor Identification"
"230","Normal/Others","WS/MP073/2025-2026/254948-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of road from Basu Das House to Dipak Das House at Patharhati Barpeta","20-Dec-2025","06-Feb-2026","1100000","Vendor Identification"
"231","Normal/Others","WS/MP073/2025-2026/258123-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Santipur bye Lane-2 at Dimoria","08-Jan-2026","21-Feb-2026","2000000","Vendor Identification"
"232","Normal/Others","WS/MP18431/2025-2026/260611-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of CC Block Road at Janajagaran Lane, New Bhakatpur","20-Jan-2026","05-Mar-2026","500000","Vendor Identification"
"233","Normal/Others","WS/MP18431/2025-2026/260612-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of CC Block Road with covered Drain starting from Late K.U. Mazumder house to Ameria Lane, Silchar Pt. X,","20-Jan-2026","05-Mar-2026","1000000","Vendor Identification"
"234","Normal/Others","WS/MP831/2025-2026/268494-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","GOALPARA(Deputy Commissioner Goalpara_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Dakhin Bikali High School road at Kathakuthi Pt.ii village, Goalpara under Kathakuthi panchayat.","14-Feb-2026","17-Mar-2026","2000000","Vendor Identification"
"235","Normal/Others","WS/MP073/2025-2026/273860-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","GOALPARA(Deputy Commissioner Goalpara_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Road From Shanti Baazar to Play Ground( Phase -II) at Balijana","12-Mar-2026","17-Mar-2026","2500000","Vendor Identification"
