"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"523","Normal/Others","WS/MP18364/2025-2026/190521-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction and installation of Drinking water plant.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","28-Nov-2025","320000"
"524","Normal/Others","WS/MP18364/2025-2026/190517-Installing community drinking water plants","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction and installation of Drinking water plant.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","29-Nov-2025","320000"
"525","Normal/Others","WS/MP18364/2025-2026/166394-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","06-Oct-2025","299766"
"526","Repair and Renovation","WS/MP18364/2025-2026/178645-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Repair and Renovation work of Government Model Primary School building.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","12-Jan-2026","300000"
"527","Repair and Renovation","WS/MP18364/2025-2026/190509-Construction of rooms and halls in school and colleges","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Repair and Renovation work of Government Model Primary School.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","12-Jan-2026","250000"
"528","Normal/Others","WS/MP18364/2024-2025/155262-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","06-Oct-2025","299526"
"529","Trust and Society","WS/MP18364/2025-2026/167592-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","22-Jul-2025","299792"
"530","Normal/Others","WS/MP18364/2025-2026/147433-Construction of community centers and community halls","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Community Hall.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","02-Aug-2025","1499923"
"531","Normal/Others","WS/MP18364/2025-2026/199342-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Improvement work of Moharam road.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","06-Aug-2025","493484"
"532","Normal/Others","WS/MP18364/2025-2026/201271-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of Cement Concrete Road.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","Images","01-Sep-2025","4995360"
