"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"61","Normal/Others","WS/MP18300/2025-2026/153065-Construction of common work sheds/ common covered sitting area","Bihar","SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet ×15 feet covered community Chaupal","18-Nov-2024","10-Jun-2025","530000","Physical Inspection"
"62","Normal/Others","WS/MP18300/2025-2026/157543-Construction of common work sheds/ common covered sitting area","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","09-Dec-2024","25-Apr-2025","527564","Physical Inspection"
"63","Normal/Others","WS/MP18300/2025-2026/157544-Construction of common work sheds/ common covered sitting area","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","09-Dec-2024","27-May-2025","529465","Physical Inspection"
"64","Normal/Others","WS/MP18300/2025-2026/157546-Construction of common work sheds/ common covered sitting area","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered Community Chaupal","09-Dec-2024","25-Apr-2025","529465","Physical Inspection"
"65","Normal/Others","WS/MP18300/2024-2025/165183-Construction of common work sheds/ common covered sitting area","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered community Chaupal","13-Jan-2025","11-Mar-2025","530000","Sanction"
"66","Normal/Others","WS/MP18300/2025-2026/172320-Construction of common work sheds/ common covered sitting area","Bihar","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered community Chaupal","04-Feb-2025","04-Apr-2025","529900","Work partially Completed"
"67","Normal/Others","WS/MP18300/2025-2026/172323-Construction of common work sheds/ common covered sitting area","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered community Chaupal","04-Feb-2025","24-Jun-2025","524531","Physical Inspection"
"68","Normal/Others","WS/MP18300/2025-2026/202614-Construction of common work sheds/ common covered sitting area","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 x feet 15 feet covered community Chaupal","22-May-2025","19-Jul-2025","530000","Sanction"
"69","Normal/Others","WS/MP18300/2025-2026/207459-Construction of common work sheds/ common covered sitting area","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 x feet 15 feet covered community Chaupal","09-Jun-2025","26-Aug-2025","534600","Physical Inspection"
"70","Normal/Others","WS/MP18300/2025-2026/220439-Construction of common work sheds/ common covered sitting area","Bihar","LAKHISARAI(District Planning Officer Lakhisarai_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 x feet 15 feet covered community Chaupal","20-Jul-2025","16-Sep-2025","529200","Sanction"
