"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"49","Normal/Others","WS/MP139/2025-2026/146687-Providing drains and gutters for public drainage","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Phytoremediation Treatment system at Sanjeevi nagar in Kalapet Assembly constituency","10-Oct-2024","4500000","29-Jul-2025"
"50","Normal/Others","WS/MP139/2026-2027/247454-Construction of public irrigation facilities","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the damaged U drain near beach road at Periyakalapet (Kuppam) in Kalapet Constituency.","11-Nov-2025","1500000","21-Jul-2026"
"51","Normal/Others","WS/MP139/2023-2024/46075-Establishing public ground water recharging facilities","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Deepening / De-Silting of the Nallambal Lake to augment water storage capacity and to develop the Kendriya Vidhyalaya School Campus located at R.S.No.54/8C/Pt in Poomangalam Village, Thirunallar using the de-silted earth from the Nallambal lake.","06-Nov-2023","2655484","07-Nov-2023"
"52","Normal/Others","NA-Purchase of ambulance to transport sick and injured animals","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Animal ambulance Dog catcher vehicle Make Tata INTRA V30 Gold CX pickup vehicle with enclosures and attachment.","29-Jun-2026","1700000","NA"
"53","Normal/Others","NA-Purchase of ambulance to transport sick and injured animals","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Animal ambulance Cattle catcher vehicle Make Tata INTRA V50 GOLD LX CLB W/O DEF Pickup vehicle with enclosures and attachment.","29-Jun-2026","2200000","NA"
"54","Normal/Others","WS/MP139/2023-2024/41241-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing formation and WBM road at Veronese nagar in Moolakulam in Oulgaret Constituency, Puducherry","27-Oct-2023","841614","03-Nov-2023"
"55","Repair and Renovation","WS/MP139/2023-2024/41242-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 3rd cross street extension at Sankaradoss swamigal nagar in Kamaraj nagar constituency, Puducherry","27-Oct-2023","490956","03-Nov-2023"
"56","Repair and Renovation","WS/MP139/2023-2024/41243-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 7th cross street at Rainbow nagar in Kamaraj nagar Constituency, Puducherry.","27-Oct-2023","2401081","03-Nov-2023"
"57","Normal/Others","WS/MP139/2023-2024/56123-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the 5th cross street at Krishna nagar in Kamaraj nagar constituency","04-Dec-2023","1664185","06-Dec-2023"
"58","Normal/Others","WS/MP139/2023-2024/64276-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the internal roads at 7th cross, 8th cross, 9th cross, 10th cross, 11th cross and 12th cross street at Sudhakar nagar in Oulgaret constituency","17-Dec-2023","3873165","18-Dec-2023"
