"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"56","Normal/Others","WS/MP233/2025-2026/251266-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Approach road to nangke yatong park, and connection of link road by fresh cutting of earth. This  project will help for the development of public park which will be a recreational place for any visitor to the village. It will get hold for all  overview of Neighbouring village.","29-Nov-2025","1500000","25-Feb-2026"
"57","Normal/Others","WS/MP233/2025-2026/251284-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Medium scale stormwater, wastewater drainage system with open RCC drains will benefits. prevents water accumulation that leads to water logging and soil erosion. prevent contamination of drinking water sources by keeping sewage and waste water separate from clean water, prevents soil erosion.","29-Nov-2025","3500000","09-Dec-2025"
"58","Normal/Others","WS/MP233/2025-2026/251286-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of a Footsteps pathway, staircase measuring approximately 220, 250 meters in length. The proposed pathway will connect the Circular Road This pathway will significantly improve accessibility for residents and government employees, and drastically reduced the inconvenient faced by the elderly, School-going Children, and differently-abled individuals who find it challenging to navigate the uneven and unsafe terrain especially during monsoon within Tompang Ward, Mon Town.","29-Nov-2025","1000000","09-Dec-2025"
"59","Normal/Others","WS/MP233/2025-2026/251322-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Bellow DC hill located at Chingai ward, can be connected Jahjoh Ward to NH road Chingai ward with the construction of Staircase and footpath, which include of earth excavation. it will benefits women, children, senior citizens and school going students to take as shortcut path.","29-Nov-2025","1619000","09-Dec-2025"
"60","Normal/Others","WS/MP233/2025-2026/266721-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of footpath over drainage at sonari road NH below DC hill will be convenient for all the public as being a busiest traffic road the footpath will also served as safety for the people on foot. Modern footpaths benefit vulnerable groups like the elderly, children, people with disabilities using ramps, smooth surfaces, adequate width. This supports equitable. Drainage systems rarely provide such direct social inclusion","06-Feb-2026","1000000","20-Feb-2026"
"61","Normal/Others","WS/MP233/2026-2027/280801-Construction of bus-sheds or bus-stops","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of waiting or bus sheds will provide Significant practical benefits in rural hilly village especially in region like Nagaland India where roads are winding, public transport is infrequent, weather is unpredictable and villages are often remote benefits protection from harsh weather, shelter from rain, wind extreme heat. this waiting shed will be as multipurpose use and low cost community asset.","15-May-2026","3500000","19-May-2026"
"62","Normal/Others","WS/MP233/2026-2027/280805-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Footpaths in Hill and Rural Areas  The construction of footpaths in hill and rural areas is very important for improving daily life, safety, and connectivity of villages. In many hilly regions, roads are limited and people mostly travel on foot to reach schools, farms, markets, water sources, and health centres. Proper footpaths help villagers move safely and easily, especially during rainy seasons when the terrain becomes slippery and dangerous.","15-May-2026","2600000","19-May-2026"
"63","Normal/Others","WS/MP233/2026-2027/280806-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Plantation of tree and fruits tree offer a wild range advantages that go far beyond just getting fruits. they combine general benefits of tree plantation with specific food producing and economic perks, some of the benefits are, carbon Claustration and climate action, Air and water purification, soil conservation, biodiversity support, free or low cost food, low maintenance, specific advantage in region like in Nagaland, India high rainfall and suitable climate for many tropical fruits tree.","15-May-2026","3000000","22-Jun-2026"
"64","Normal/Others","WS/MP233/2026-2027/281628-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Fishery Project at Longjung Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage systems.","18-May-2026","4264000","24-Jun-2026"
"65","Normal/Others","WS/MP233/2026-2027/281641-Setting up processing plants, cold storages,etc for fish and fisheries products for community use","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Fishery Project at Liphi,Khumsu Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage system","18-May-2026","4680000","24-Jun-2026"
